category,title,link,price,currency,slot
Iphone 15,Asus Vivobook Core I5 3.3GHz 8GB 512GB Win11 16inch WUXGA Silver English/Arabic Keyboard,https://www.alifstores.com/asus-vivobook-core-i5-3-3ghz-8-gb-512gb-win-11-16-inch-wuxga-silver-english-arabic-keyword.html,2699.00,QAR,Only 2 left
Iphone 15,"HP Laptop 15s-eq2000ne AMD Ryzen™ 7 5700U8 GB DDR4512 SSDIntegrated15.6"", FHD Natural Silver FF+",https://www.alifstores.com/hp-laptop-15s-eq-000ne-amd-ryzen-7-5700u8-gb-ddr451-ssdintegrated15-6-fhd-natural-silver-ff.html,2699.00,QAR,Only 1 left
Iphone 15,Dell Laptop i7-1165G7/8 GB RAM/512 GB SSD/15.6 Inch /W11/1N15M - Silver,https://www.alifstores.com/dell-laptop-i7-1165g7-8-51-s-d-15-6-inch-w11-1n15m-silver.html,2849.00,QAR,Only 1 left
Iphone 15,Acer Aspire A515-56G-7021 15 Inch FHD – Core i7 8GB RAM 512 GB SSD Windows 11 English/Arabic - Silver,https://www.alifstores.com/acer-aspire-a515-56g-70-1-15-inch-fhd-core-i7-8gb-ram-51-gb-ssd-windows-11-englisharabic-silver.html,2999.00,QAR,Only 2 left
Iphone 15,Apple MacBook Air 13.3 inch / Apple M1 chip with 8-core CPU and 7-core GPU / 8GB RAM / 256GB SSD/ Arabic & English - Space Grey,https://www.alifstores.com/apple-macbook-air-13-3-inch-apple-m1-chip-with-8-core-cpu-and-7-core-gpu-8gb-ram-256gb-ssd-space-grey.html,2999.00,QAR,
Iphone 15,Dell Inspiron 14 5402-INS-0327-SLV Core i5 2.4GHz 8GB 512GB /Win11/14inch FHD/Arabic & English Keyboard - Silver,https://www.alifstores.com/dell-inspiron-14-540-ins-03-7-slv-core-i5-4ghz-8gb-51-gb-win1114inch-fhdarabic-english-keyboard-silver.html,3099.00,QAR,Only 1 left
Iphone 15,Kitchenaid Artisan Stand Mixer 6.9L Empire Red,https://www.alifstores.com/kitchenaid-artisan-stand-mixer-6-9l-empire-red.html,4550.00,QAR,Only 2 left
Iphone 15,Kitchenaid 4.83L Mixer Med Silver,https://www.alifstores.com/kitchenaid-4-83l-mixer-med-silver.html,3490.00,QAR,
Iphone 15,Kitchenaid 4.8L Art Mixer Kyoto Glow,https://www.alifstores.com/kitchenaid-artisan-mixer-4-8-l-kyoto-glow.html,3490.00,QAR,Only 1 left
Iphone 15,Kitchenaid Art St. Mixer Matcha Green,https://www.alifstores.com/kitchenaid-art-st-mixer-matcha-green.html,3350.00,QAR,Only 3 left
Iphone 15,Kitchenaid Art Stand Mixer Fog Blue,https://www.alifstores.com/kitchenaid-art-stand-mixer-fog-blue.html,3350.00,QAR,Only 2 left
Iphone 15,Kitchenaid Art Stand Mixer Silky Pink,https://www.alifstores.com/kitchenaid-art-stand-mixer-silky-pink.html,3350.00,QAR,Only 2 left
Iphone 15,Kitchenaid 4.8L Art Stand Mixer Ice Blue,https://www.alifstores.com/kitchenaid-4-8l-art-stand-mixer-ice-blue.html,3350.00,QAR,Only 1 left
Iphone 15,Kitchenaid Art St. Mixer Dried Rose,https://www.alifstores.com/kitchenaid-art-st-mixer-dried-rose.html,3350.00,QAR,Only 3 left
Iphone 15,Kitchenaid Art St. Mixer Pebbled Palm,https://www.alifstores.com/kitchenaid-artisan-4-8-litre-stand-mixer-pebbled-palm.html,3350.00,QAR,Only 5 left
Iphone 15,Art St. Mixer Ink Blue,https://www.alifstores.com/kitchenaid-art-stand-mixer-ink-blue.html,3350.00,QAR,
